method,fold,cohort,source,case_id,class_id,class_name,label_path,pred_path,is_evaluable,evaluability_reason,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
segformer3d_seed20260522,0,v1_comparison,TB,136032_122089,2,middle,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136032_122089.nii.gz,True,evaluable,22505902,5854324,5887702,5630047,257655,224277,16393923,25.015869170673543,1.144833030908959,0.9965252670166254,72.84277253140088,0.958956657053902,0.9211495981907006,0.956238444133212,0.9616903676667024,0.984526691704534,0.015473308295466,0.0440110591760893,15.0,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136032_122089,3,end,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136032_122089.nii.gz,True,evaluable,22505902,5843999,5747139,5641703,105436,202296,16556467,25.06766002980018,0.4684815565268168,0.8988575530098728,73.56500086066313,0.9734510968638282,0.9482754244730802,0.981654176103971,0.9653839776495512,0.9936720313399976,0.0063279686600024,0.0180417553117308,10.0,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136032_122089,4,left_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136032_122089.nii.gz,True,evaluable,22505902,63016,63722,59039,4683,3977,22438203,0.2623267443357747,0.0208078751964706,0.0176709202768233,99.69919446019094,0.931670059492812,0.8720808283726496,0.9265088980257996,0.9368890440523042,0.9997913369964986,0.0002086630035014,0.0743144598197283,5.367932308219339,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136032_122089,5,right_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136032_122089.nii.gz,True,evaluable,22505902,70024,68493,65246,3247,4778,22432631,0.2899061766109174,0.0144273266630237,0.0212299866941569,99.67443651003192,0.9420648729036868,0.8904750856409767,0.9525936957061304,0.93176625157089,0.9998552764460568,0.0001447235539433,0.046369816063064,5.094474881320571,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136032_122089,6,testis,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136032_122089.nii.gz,True,evaluable,22505902,318368,327168,304658,22510,13710,22165024,1.353680470127347,0.1000182085570265,0.0609173540345105,98.48538396728112,0.9438915877658256,0.8937449762084969,0.9311974276212832,0.956936626796663,0.998985466343398,0.0010145336566019,0.0707043421449391,6.905339660024878,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136032_122089,7,thoracic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136032_122089.nii.gz,True,evaluable,22505902,1132754,1098524,1073068,25456,59686,21347692,4.767940427359899,0.1131081082642233,0.2652015457989642,94.85374991857692,0.9618415992986978,0.926488287961596,0.9768270879835124,0.9473089479269108,0.9988089728288972,0.0011910271711027,0.0224726639676399,7.873298582322802,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136032_122089,8,abdominal_and_pelvic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136032_122089.nii.gz,True,evaluable,22505902,3551021,3500307,3427515,72792,123506,18882089,15.229405157811494,0.3234351593639748,0.5487716066656648,83.89838807615887,0.972161555950879,0.945831090070045,0.9792041098109394,0.9652195805093804,0.9961597226592982,0.0038402773407018,0.0204988931352419,6.115371298071872,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136032_122089,9,head,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136032_122089.nii.gz,False,absent_or_out_of_fov_for_fp,22505902,0,10137,0,10137,0,22495765,0.0,0.0450415184425845,0.0,99.9549584815574,,,,,,,,,False,10137.0,0.0004504151844258,1.0
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,1,front,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,True,evaluable,23234991,5846578,5819405,5753926,65479,92652,17322934,24.76405521310509,0.2818120308288477,0.398760645097732,74.55537211096832,0.9864451199697444,0.973252795093146,0.988748162398046,0.9841527813363646,0.9962343314481892,0.0037656685518109,0.011199542706862,10.0,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,2,middle,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,True,evaluable,23234991,6070395,5952524,5808139,144385,262256,17020211,24.99738002911213,0.6214119041406128,1.1287114335443469,73.25249663320291,0.966177847492776,0.9345687216603,0.975743902922525,0.9567975395340832,0.991588208659266,0.0084117913407341,0.0237851078883664,10.04757056787392,False,,,
