method,cohort,class_id,class_name,n_cases,n_evaluable,n_gt_present,n_pred_present,missed_count,missed_rate,Dice_n_valid,Dice_mean,Dice_median,Dice_std,Dice_max,IoU_n_valid,IoU_mean,IoU_median,IoU_std,IoU_max,Precision_n_valid,Precision_mean,Precision_median,Precision_std,Precision_max,Recall_n_valid,Recall_mean,Recall_median,Recall_std,Recall_max,Specificity_n_valid,Specificity_mean,Specificity_median,Specificity_std,Specificity_max,FPR_n_valid,FPR_mean,FPR_median,FPR_std,FPR_max,FP_GT_ratio_n_valid,FP_GT_ratio_mean,FP_GT_ratio_median,FP_GT_ratio_std,FP_GT_ratio_max,HD95_n_valid,HD95_mean,HD95_median,HD95_std,HD95_max,TP_percent_n_valid,TP_percent_mean,TP_percent_median,TP_percent_std,TP_percent_max,FP_percent_n_valid,FP_percent_mean,FP_percent_median,FP_percent_std,FP_percent_max,FN_percent_n_valid,FN_percent_mean,FN_percent_median,FN_percent_std,FN_percent_max,TN_percent_n_valid,TN_percent_mean,TN_percent_median,TN_percent_std,TN_percent_max,absent_FP_rate_n_valid,absent_FP_rate_mean,absent_FP_rate_median,absent_FP_rate_std,absent_FP_rate_max,absent_FP_incidence_n_valid,absent_FP_incidence_rate
segformer3d_seed20260521,v1_comparison,1,front,39,39,39,39,0,0.0,39,0.972912936212752,0.9737726541343732,0.012333432594103832,0.9886559200499592,39,0.947520945956027,0.9488858955643908,0.022772711546570918,0.9775663294521856,39,0.9830224455670418,0.9881043580316788,0.013597549258186745,0.9980763835468544,39,0.9634533334135369,0.9686112951026355,0.02351587084640598,0.9957306547564968,39,0.9944575092313165,0.996001144399324,0.0043262312413244654,0.9993378736473644,39,0.005542490768683425,0.0039988556006761,0.004326231241324452,0.0167534251897735,39,0.016902468448894054,0.0118678816983677,0.013827931234356921,0.0518566349114758,39,15.624483085247206,15.0,6.655683858188026,40.570747210494766,39,24.342079658515573,24.31160900258828,1.3576657222933268,26.9381458261362,39,0.41694826391590323,0.3075729122394454,0.32908910069487285,1.261919919239698,39,0.9325355439722207,0.7755485191519035,0.603488206008881,2.704169244160178,39,74.3084365335963,74.46362539039507,1.3102090943134042,77.03849116249816,0,,,,,0,
segformer3d_seed20260521,v1_comparison,2,middle,39,39,39,39,0,0.0,39,0.9619469683766135,0.9652411022209484,0.00903267975584321,0.9757912154601492,39,0.926824792452735,0.9328173976495276,0.01662573607223079,0.9527268562713468,39,0.9553222340807017,0.9585799591562448,0.018975732023129983,0.982676294227627,39,0.9689930501986606,0.971622614867558,0.01049131285178902,0.9825732128187348,39,0.9853746247313574,0.9865296422239348,0.0061274141308775044,0.994347027714646,39,0.014625375268642712,0.0134703577760652,0.006127414130877504,0.0341598791544617,39,0.04580250809128139,0.0422413000358072,0.020833837443522064,0.1040275470763585,39,12.794994516458313,10.55801706511272,5.054946110309821,30.0,39,23.719084710807177,23.653548435738944,1.1133953105621928,25.503590390241527,39,1.1077005842548808,0.9979510781991844,0.47288045765364234,2.571557003260057,39,0.7644267847144102,0.7031208001320512,0.28002757665556294,1.5989814749598756,39,74.40878792022352,74.40947365088944,1.0953902224692067,76.48790912205745,0,,,,,0,
segformer3d_seed20260521,v1_comparison,3,end,39,39,39,39,0,0.0,39,0.9809620476079516,0.980875582984161,0.004495307152824963,0.987507429701392,39,0.9626725932896528,0.9624689258808294,0.008643994430665427,0.9753231368504292,39,0.9799994558632275,0.98158220962041,0.0074327291085807805,0.9904206353614172,39,0.9819837179258911,0.9834350207691792,0.006486421349277312,0.9911128908747304,39,0.9928639952590702,0.9937490541062082,0.0031367515145615493,0.9969772768371692,39,0.0071360047409300825,0.0062509458937918,0.003136751514561567,0.015004170906683,39,0.02010627354082055,0.0181298798990212,0.007669714720015457,0.0397771539556352,39,7.147633115273041,5.859372138977051,2.4732694866831606,15.0,39,25.292638614435475,24.95980960951448,1.723990981433394,28.57160185045793,39,0.5258700748210725,0.4448911828623967,0.22286607047878684,1.0894647357138405,39,0.46691154780150856,0.4392775692534025,0.179049383326157,1.0209543966826773,39,73.71457976294194,74.02191093850176,1.9487570474055376,76.77987547252447,0,,,,,0,
segformer3d_seed20260521,v1_comparison,4,left_kidney,39,39,39,39,0,0.0,39,0.8946940363446648,0.9195090916553792,0.07588653139815343,0.9554959680191728,39,0.8165513913131702,0.8510104847287646,0.10666966540682206,0.9147843749412272,39,0.8799114445675755,0.9110118972121458,0.07731698443612627,0.9658945922072824,39,0.9201751842088768,0.9542043096319182,0.09703715071313784,0.9911751045053414,39,0.9997056041984462,0.99975386840903,0.00022521739938161835,0.9999439281395944,39,0.00029439580155360336,0.00024613159097,0.00022521739938163743,0.0009915233521131,39,0.13513153229227343,0.0932394945032364,0.1167998545704696,0.5757619064632534,39,27.32761820049176,6.344980233329529,45.31203334704534,151.95575339703882,39,0.21238913789067118,0.2110562457512638,0.06018342600063783,0.3565104933801227,39,0.029371093378664045,0.0245525205314339,0.022473462179808657,0.0989818778707969,39,0.018546384957939005,0.0134864017835434,0.022829870424834232,0.1331099658113329,39,99.73969338377272,99.73946794738272,0.06590799355208445,99.85812188492643,0,,,,,0,
segformer3d_seed20260521,v1_comparison,5,right_kidney,39,39,39,39,0,0.0,39,0.9057449853737861,0.9314073146989292,0.07001245239861495,0.9600062520758844,39,0.8341610123680786,0.8716205224973159,0.10345648665703311,0.9230884839376292,39,0.9114502989400329,0.9273921590564016,0.06716545898327335,0.9785273368606702,39,0.9115260263050005,0.940675244599542,0.10669006229801742,0.9888424726349744,39,0.9997698754182778,0.9998160098248866,0.00026642255893927355,0.9999619393904724,39,0.00023012458172231784,0.0001839901751133,0.00026642255893927463,0.001634972285574,39,0.09767480841796522,0.0735335335335335,0.10846587753796055,0.6906923950056754,39,20.37915122973588,5.0,35.813607644072995,127.73117614499742,39,0.21150184057180446,0.2141077283245939,0.05888481227443908,0.3353769667171032,39,0.02295594135931273,0.0183668117927364,0.026575709154142407,0.1631111201207183,39,0.019695093332192253,0.0117013921100939,0.022595763995932695,0.1089691235095346,39,99.7458471247367,99.7578290435704,0.06846969918963333,99.86631619997284,0,,,,,0,
segformer3d_seed20260521,v1_comparison,6,testis,39,20,20,20,0,0.0,20,0.9260712284189797,0.9263469765911447,0.013717532104073627,0.9470903835647568,20,0.8626081333090487,0.8628024356258532,0.023672563940500525,0.8994982748578643,20,0.9086058580237785,0.9162120220738612,0.02605510536507568,0.9387081347094306,20,0.9451120779796156,0.948748693230936,0.022227245318583503,0.9806453382836398,20,0.9989751198029457,0.999039109861957,0.00041556795131043737,0.9994339103171076,20,0.0010248801970541648,0.000960890138043,0.00041556795131044593,0.0024705432142794,20,0.09618421457437362,0.08466002631016956,0.032025749963469255,0.1819172464718808,20,7.642334920433392,6.9053315678304905,2.201157168709614,12.695308494567872,39,0.514020741948624,0.7325328477956565,0.5290429415974831,1.3525648517813609,39,0.051981571294812165,0.0561157650544117,0.05893449648737095,0.2437441327305193,39,0.02919807582698219,0.0177292874761452,0.03236155982058635,0.0927539054584905,39,99.40479961092959,99.1482761104834,0.610990172032896,100.0,19,0.0,0.0,0.0,0.0,19,0.0
segformer3d_seed20260521,v1_comparison,7,thoracic_cavity,39,39,39,39,0,0.0,39,0.9751108003955127,0.9746054527238934,0.004597858864549551,0.9816085309911056,39,0.9514686622790074,0.9504687296347236,0.00874019225826482,0.9638813372488418,39,0.9752705396585608,0.977303138765059,0.006597163569353898,0.9852232266440116,39,0.975010559373623,0.9764456247761536,0.007584658482143545,0.98457129844005,39,0.9987746087619785,0.9988506520376312,0.0004053463812189918,0.999421057537871,39,0.0012253912380212567,0.0011493479623686,0.0004053463812189843,0.0023885119478791,39,0.024776810486864465,0.0227238306166885,0.006862381413842867,0.0454591472891502,39,4.333345110744811,4.8828125,0.9958374812999956,6.638784265651417,39,4.5549774348923515,4.539625571860376,0.5724920889657306,5.841569798570806,39,0.11668073218504606,0.1091467909416388,0.03822631918982858,0.2269279588007545,39,0.11795515675871575,0.1027915879396076,0.04312519968000174,0.2436386128456939,39,95.2103866761639,95.19717548658193,0.6189061773552059,96.3410118865473,0,,,,,0,
segformer3d_seed20260521,v1_comparison,8,abdominal_and_pelvic_cavity,39,39,39,39,0,0.0,39,0.9773805494104199,0.9778246773151926,0.006059340038709625,0.9856542946424266,39,0.9558285632614585,0.956611508431719,0.011573804560835529,0.9717143666467908,39,0.9798367919981894,0.9800179833842144,0.0049101688038342105,0.9865395258645894,39,0.9749668979749455,0.9769678088058764,0.008891802941594109,0.9870167116372182,39,0.9965590464476909,0.9967060370339512,0.0008649098680294882,0.9980047170683456,39,0.003440953552309077,0.0032939629660488,0.0008649098680295115,0.0056127329744925,39,0.020065822476364726,0.0197845338170595,0.004920753304292117,0.0338943496724535,39,5.330058684270892,5.0,1.3247262455745294,9.119980966786372,39,14.2987575180993,14.161711582702733,1.4108618923775749,17.582407166434812,39,0.2932870940508184,0.286127161335427,0.07268721964188661,0.4815337435963907,39,0.3669550986582792,0.3452015922003663,0.1326876660184065,0.6607535992510205,39,85.04100028919159,85.33263774239822,1.4556034275494811,87.9472192100171,0,,,,,0,
segformer3d_seed20260521,v1_comparison,9,head,39,19,19,37,0,0.0,19,0.9410324302400472,0.9560549724128984,0.04997713395934621,0.9755833431899265,19,0.8920960325276064,0.9158096903077878,0.07759390290394574,0.9523306134320296,19,0.9251518986452942,0.947327239069448,0.06920791513199288,0.9834863531459106,19,0.9597375791260273,0.9773410191013346,0.04296119043702456,0.9905166107962322,19,0.9936364890524474,0.9954744591420954,0.005523579219125581,0.9984978776503454,19,0.006363510947552657,0.0045255408579045,0.005523579219125581,0.0259656430779547,19,0.08240270975873248,0.0543415703926284,0.08620752840423983,0.4000023741439892,19,15.616136973077818,15.0,7.646414804822564,39.281381765063934,39,3.6253775729509257,0.0,3.8025437965154674,8.257451513607633,39,0.33773635386875145,0.1878936601154731,0.44869655477232195,2.438286081920958,39,0.1522637349381931,0.0,0.27082365303774986,1.12516914131443,39,95.88462233824214,99.37594301007024,4.18783779167466,100.0,20,0.0009790679417297722,0.00038246887758625,0.0015125297452419266,0.0062405698992975,20,0.9
