network,seed,case_id,source,class_label,class_name,dice,hd95
nnunet_v1,20260520,156052000030703,HZAU,7,thoracic_cavity,0.992180,1.0640
nnunet_v1,20260520,156052000030703,HZAU,8,abdominal_and_pelvic_cavity,0.993922,1.5047
nnunet_v1,20260520,156052000030703,HZAU,9,head,0.968295,10.0000
nnunet_v1,20260520,156052000036792,HZAU,1,front,0.924797,40.0391
nnunet_v1,20260520,156052000036792,HZAU,2,middle,0.984579,5.0000
nnunet_v1,20260520,156052000036792,HZAU,3,end,0.990177,5.0000
nnunet_v1,20260520,156052000036792,HZAU,4,left_kidney,0.659114,148.4867
nnunet_v1,20260520,156052000036792,HZAU,5,right_kidney,0.232829,144.4661
nnunet_v1,20260520,156052000036792,HZAU,7,thoracic_cavity,0.990780,1.7692
nnunet_v1,20260520,156052000036792,HZAU,8,abdominal_and_pelvic_cavity,0.994548,1.2510
nnunet_v1,20260520,156052000036792,HZAU,9,head,0.741520,37.6288
nnunet_v1,20260520,156052000037142,HZAU,1,front,0.980238,15.0000
nnunet_v1,20260520,156052000037142,HZAU,2,middle,0.979683,10.0000
nnunet_v1,20260520,156052000037142,HZAU,3,end,0.987696,7.8718
nnunet_v1,20260520,156052000037142,HZAU,4,left_kidney,0.756667,28.9899
nnunet_v1,20260520,156052000037142,HZAU,5,right_kidney,0.830243,115.3878
nnunet_v1,20260520,156052000037142,HZAU,7,thoracic_cavity,0.991952,1.1290
nnunet_v1,20260520,156052000037142,HZAU,8,abdominal_and_pelvic_cavity,0.992574,2.2580
nnunet_v1,20260520,156052000037142,HZAU,9,head,0.955503,15.0000
nnunet_v1,20260520,136518_122095,TB,1,front,0.991018,5.0000
nnunet_v1,20260520,136518_122095,TB,2,middle,0.974962,9.1200
nnunet_v1,20260520,136518_122095,TB,3,end,0.981003,7.7027
nnunet_v1,20260520,136518_122095,TB,4,left_kidney,0.636671,53.3905
nnunet_v1,20260520,136518_122095,TB,5,right_kidney,0.755039,143.9848
nnunet_v1,20260520,136518_122095,TB,6,testis,0.948747,7.2565
nnunet_v1,20260520,136518_122095,TB,7,thoracic_cavity,0.980867,2.9297
nnunet_v1,20260520,136518_122095,TB,8,abdominal_and_pelvic_cavity,0.981214,5.0000
nnunet_v1,20260520,156052000037134,HZAU,1,front,0.979722,10.0000
nnunet_v1,20260520,156052000037134,HZAU,2,middle,0.979060,10.0000
nnunet_v1,20260520,156052000037134,HZAU,3,end,0.989098,5.5146
nnunet_v1,20260520,156052000037134,HZAU,4,left_kidney,0.979113,1.1630
nnunet_v1,20260520,156052000037134,HZAU,5,right_kidney,0.976943,1.1630
nnunet_v1,20260520,156052000037134,HZAU,7,thoracic_cavity,0.991158,1.1630
nnunet_v1,20260520,156052000037134,HZAU,8,abdominal_and_pelvic_cavity,0.991590,2.3260
nnunet_v1,20260520,156052000037134,HZAU,9,head,0.967578,10.0000
nnunet_v1,20260520,136514_122984,TB,1,front,0.988671,10.0000
nnunet_v1,20260520,136514_122984,TB,2,middle,0.977704,7.5779
nnunet_v1,20260520,136514_122984,TB,3,end,0.983598,5.8768
nnunet_v1,20260520,136514_122984,TB,4,left_kidney,0.933424,132.6807
nnunet_v1,20260520,136514_122984,TB,5,right_kidney,0.944436,7.0566
nnunet_v1,20260520,136514_122984,TB,6,testis,0.919229,8.0063
nnunet_v1,20260520,136514_122984,TB,7,thoracic_cavity,0.981618,3.5210
nnunet_v1,20260520,136514_122984,TB,8,abdominal_and_pelvic_cavity,0.983001,5.0000
nnunet_v1,20260520,156052000036803,HZAU,1,front,0.981689,11.8153
nnunet_v1,20260520,156052000036803,HZAU,2,middle,0.975992,11.6889
nnunet_v1,20260520,156052000036803,HZAU,3,end,0.988733,10.0000
nnunet_v1,20260520,156052000036803,HZAU,4,left_kidney,0.974981,1.4071
nnunet_v1,20260520,156052000036803,HZAU,5,right_kidney,0.977640,0.9950
nnunet_v1,20260520,156052000036803,HZAU,7,thoracic_cavity,0.991491,0.9950
nnunet_v1,20260520,156052000036803,HZAU,8,abdominal_and_pelvic_cavity,0.993560,1.4071
nnunet_v1,20260520,156052000036803,HZAU,9,head,0.976594,10.0000
nnunet_v1,20260520,136032_122089,TB,1,front,0.976335,19.6755
nnunet_v1,20260520,136032_122089,TB,2,middle,0.958776,16.5708
nnunet_v1,20260520,136032_122089,TB,3,end,0.976455,10.7802
nnunet_v1,20260520,136032_122089,TB,4,left_kidney,0.915071,145.4630
nnunet_v1,20260520,136032_122089,TB,5,right_kidney,0.910747,13.2827
nnunet_v1,20260520,136032_122089,TB,6,testis,0.952835,5.0000
nnunet_v1,20260520,136032_122089,TB,7,thoracic_cavity,0.969903,5.7951
nnunet_v1,20260520,136032_122089,TB,8,abdominal_and_pelvic_cavity,0.980376,5.0000
nnunet_v1,20260520,156052000037184,HZAU,1,front,0.981004,10.0000
nnunet_v1,20260520,156052000037184,HZAU,2,middle,0.975865,11.7951
nnunet_v1,20260520,156052000037184,HZAU,3,end,0.987224,10.0000
nnunet_v1,20260520,156052000037184,HZAU,4,left_kidney,0.918233,126.5069
nnunet_v1,20260520,156052000037184,HZAU,5,right_kidney,0.925049,7.9360
nnunet_v1,20260520,156052000037184,HZAU,7,thoracic_cavity,0.991978,1.7692
nnunet_v1,20260520,156052000037184,HZAU,8,abdominal_and_pelvic_cavity,0.993251,1.2510
nnunet_v1,20260520,156052000037184,HZAU,9,head,0.974896,10.0000
nnunet_v1,20260520,156202411000033,HZAU,1,front,0.979452,12.2507
nnunet_v1,20260520,156202411000033,HZAU,2,middle,0.972231,11.7951
nnunet_v1,20260520,156202411000033,HZAU,3,end,0.987390,10.0000
nnunet_v1,20260520,156202411000033,HZAU,4,left_kidney,0.978701,1.2510
nnunet_v1,20260520,156202411000033,HZAU,5,right_kidney,0.980184,1.2510
nnunet_v1,20260520,156202411000033,HZAU,7,thoracic_cavity,0.992130,1.2510
nnunet_v1,20260520,156202411000033,HZAU,8,abdominal_and_pelvic_cavity,0.993488,1.2510
nnunet_v1,20260520,156202411000033,HZAU,9,head,0.979792,7.0739
nnunet_v1,20260520,156052000037691,HZAU,1,front,0.976092,15.0000
nnunet_v1,20260520,156052000037691,HZAU,2,middle,0.973196,11.7555
nnunet_v1,20260520,156052000037691,HZAU,3,end,0.988246,5.1505
nnunet_v1,20260520,156052000037691,HZAU,4,left_kidney,0.976341,1.2360
nnunet_v1,20260520,156052000037691,HZAU,5,right_kidney,0.970891,1.7480
nnunet_v1,20260520,156052000037691,HZAU,7,thoracic_cavity,0.990502,2.4720
nnunet_v1,20260520,156052000037691,HZAU,8,abdominal_and_pelvic_cavity,0.993265,1.7480
nnunet_v1,20260520,156052000037691,HZAU,9,head,0.976644,10.0000
nnunet_v1,20260520,156052000037636,HZAU,1,front,0.980881,11.9724
nnunet_v1,20260520,156052000037636,HZAU,2,middle,0.982542,10.0000
nnunet_v1,20260520,156052000037636,HZAU,3,end,0.990031,5.0000
nnunet_v1,20260520,156052000037636,HZAU,4,left_kidney,0.836461,150.3570
nnunet_v1,20260520,156052000037636,HZAU,5,right_kidney,0.780145,12.4190
nnunet_v1,20260520,156052000037636,HZAU,7,thoracic_cavity,0.990570,1.1290
nnunet_v1,20260520,156052000037636,HZAU,8,abdominal_and_pelvic_cavity,0.993647,1.5966
nnunet_v1,20260520,156052000037636,HZAU,9,head,0.966533,11.9724
nnunet_v1,20260520,156202411000574,HZAU,1,front,0.975969,15.0000
nnunet_v1,20260520,156202411000574,HZAU,2,middle,0.975651,10.0000
nnunet_v1,20260520,156202411000574,HZAU,3,end,0.989135,9.6932
nnunet_v1,20260520,156202411000574,HZAU,4,left_kidney,0.979144,1.0300
nnunet_v1,20260520,156202411000574,HZAU,5,right_kidney,0.980589,1.0300
nnunet_v1,20260520,156202411000574,HZAU,7,thoracic_cavity,0.991841,1.0300
nnunet_v1,20260520,156202411000574,HZAU,8,abdominal_and_pelvic_cavity,0.993058,1.4566
nnunet_v1,20260520,156202411000574,HZAU,9,head,0.957358,15.0000
nnunet_v1,20260520,156052000037201,HZAU,1,front,0.970621,25.0000
nnunet_v1,20260520,156052000037201,HZAU,2,middle,0.980597,10.0000
nnunet_v1,20260520,156052000037201,HZAU,3,end,0.987713,10.0000
nnunet_v1,20260520,156052000037201,HZAU,4,left_kidney,0.958439,115.0320
nnunet_v1,20260520,156052000037201,HZAU,5,right_kidney,0.963103,5.0000
nnunet_v1,20260520,156052000037201,HZAU,7,thoracic_cavity,0.991191,2.1960
nnunet_v1,20260520,156052000037201,HZAU,8,abdominal_and_pelvic_cavity,0.993747,1.5528
nnunet_v1,20260520,156052000037201,HZAU,9,head,0.917556,30.8695
nnunet_v1,20260520,206178_202851,TB,1,front,0.979180,15.0000
nnunet_v1,20260520,206178_202851,TB,2,middle,0.963676,15.0000
nnunet_v1,20260520,206178_202851,TB,3,end,0.983996,5.7122
nnunet_v1,20260520,206178_202851,TB,4,left_kidney,0.943653,42.9680
nnunet_v1,20260520,206178_202851,TB,5,right_kidney,0.947663,3.9062
nnunet_v1,20260520,206178_202851,TB,6,testis,0.927826,6.4197
nnunet_v1,20260520,206178_202851,TB,7,thoracic_cavity,0.980404,3.0882
nnunet_v1,20260520,206178_202851,TB,8,abdominal_and_pelvic_cavity,0.985636,3.9062
nnunet_v1,20260520,156052000037670,HZAU,1,front,0.957011,22.3307
nnunet_v1,20260520,156052000037670,HZAU,2,middle,0.953437,22.1943
nnunet_v1,20260520,156052000037670,HZAU,3,end,0.981790,20.0000
nnunet_v1,20260520,156052000037670,HZAU,4,left_kidney,0.975580,1.2320
nnunet_v1,20260520,156052000037670,HZAU,5,right_kidney,0.981851,1.2320
nnunet_v1,20260520,156052000037670,HZAU,7,thoracic_cavity,0.990765,1.2320
nnunet_v1,20260520,156052000037670,HZAU,8,abdominal_and_pelvic_cavity,0.992759,1.7423
nnunet_v1,20260520,156052000037670,HZAU,9,head,0.945660,20.0000
nnunet_v1,20260520,207633_204331,TB,1,front,0.977631,15.0000
nnunet_v1,20260520,207633_204331,TB,2,middle,0.958213,15.2522
nnunet_v1,20260520,207633_204331,TB,3,end,0.980750,10.0000
nnunet_v1,20260520,207633_204331,TB,4,left_kidney,0.965033,2.1837
nnunet_v1,20260520,207633_204331,TB,5,right_kidney,0.972076,1.3811
nnunet_v1,20260520,207633_204331,TB,6,testis,0.943456,5.0000
nnunet_v1,20260520,207633_204331,TB,7,thoracic_cavity,0.981303,3.0882
nnunet_v1,20260520,207633_204331,TB,8,abdominal_and_pelvic_cavity,0.981071,4.3673
nnunet_v1,20260520,205870_202923,TB,1,front,0.966563,25.0000
nnunet_v1,20260520,205870_202923,TB,2,middle,0.948561,25.0000
nnunet_v1,20260520,205870_202923,TB,3,end,0.979038,10.3745
nnunet_v1,20260520,205870_202923,TB,4,left_kidney,0.954687,151.9544
nnunet_v1,20260520,205870_202923,TB,5,right_kidney,0.961520,5.0945
nnunet_v1,20260520,205870_202923,TB,6,testis,0.934882,10.3810
nnunet_v1,20260520,205870_202923,TB,7,thoracic_cavity,0.981554,4.0265
nnunet_v1,20260520,205870_202923,TB,8,abdominal_and_pelvic_cavity,0.983244,4.8828
nnunet_v1,20260520,156052000037404,HZAU,1,front,0.982184,10.1190
nnunet_v1,20260520,156052000037404,HZAU,2,middle,0.977631,10.0000
nnunet_v1,20260520,156052000037404,HZAU,3,end,0.988638,5.5663
nnunet_v1,20260520,156052000037404,HZAU,4,left_kidney,0.926984,108.1068
nnunet_v1,20260520,156052000037404,HZAU,5,right_kidney,0.951123,5.4578
nnunet_v1,20260520,156052000037404,HZAU,7,thoracic_cavity,0.991731,1.0940
nnunet_v1,20260520,156052000037404,HZAU,8,abdominal_and_pelvic_cavity,0.993232,2.1880
nnunet_v1,20260520,156052000037404,HZAU,9,head,0.975154,10.0000
nnunet_v1,20260520,308495_301122,TB,1,front,0.975789,20.0000
nnunet_v1,20260520,308495_301122,TB,2,middle,0.962209,18.8606
nnunet_v1,20260520,308495_301122,TB,3,end,0.986846,5.0000
nnunet_v1,20260520,308495_301122,TB,4,left_kidney,0.936689,65.8655
nnunet_v1,20260520,308495_301122,TB,5,right_kidney,0.927765,5.0000
nnunet_v1,20260520,308495_301122,TB,6,testis,0.941663,5.7122
nnunet_v1,20260520,308495_301122,TB,7,thoracic_cavity,0.982120,3.0882
nnunet_v1,20260520,308495_301122,TB,8,abdominal_and_pelvic_cavity,0.981810,4.0265
nnunet_v1,20260520,207541_202151,TB,1,front,0.973438,20.8053
nnunet_v1,20260520,207541_202151,TB,2,middle,0.951351,21.3284
nnunet_v1,20260520,207541_202151,TB,3,end,0.980460,10.0476
nnunet_v1,20260520,207541_202151,TB,4,left_kidney,0.953763,4.3673
nnunet_v1,20260520,207541_202151,TB,5,right_kidney,0.957390,2.9297
nnunet_v1,20260520,207541_202151,TB,6,testis,0.937747,10.0543
nnunet_v1,20260520,207541_202151,TB,7,thoracic_cavity,0.979862,5.0000
nnunet_v1,20260520,207541_202151,TB,8,abdominal_and_pelvic_cavity,0.982372,4.8828
nnunet_v1,20260520,305810_305052,TB,1,front,0.980295,15.0000
nnunet_v1,20260520,305810_305052,TB,2,middle,0.973302,10.0476
nnunet_v1,20260520,305810_305052,TB,3,end,0.983554,5.4560
nnunet_v1,20260520,305810_305052,TB,4,left_kidney,0.878612,114.1188
nnunet_v1,20260520,305810_305052,TB,5,right_kidney,0.877827,150.1740
nnunet_v1,20260520,305810_305052,TB,6,testis,0.934759,6.6388
nnunet_v1,20260520,305810_305052,TB,7,thoracic_cavity,0.977302,5.0000
nnunet_v1,20260520,305810_305052,TB,8,abdominal_and_pelvic_cavity,0.984551,4.8828
nnunet_v1,20260520,308577_304377,TB,1,front,0.977443,18.6882
nnunet_v1,20260520,308577_304377,TB,2,middle,0.965182,15.0000
nnunet_v1,20260520,308577_304377,TB,3,end,0.985152,5.0000
nnunet_v1,20260520,308577_304377,TB,4,left_kidney,0.860855,127.8213
nnunet_v1,20260520,308577_304377,TB,5,right_kidney,0.874319,12.4625
nnunet_v1,20260520,308577_304377,TB,6,testis,0.943213,8.7891
nnunet_v1,20260520,308577_304377,TB,7,thoracic_cavity,0.982599,2.1837
nnunet_v1,20260520,308577_304377,TB,8,abdominal_and_pelvic_cavity,0.983143,4.1432
nnunet_v1,20260520,308240_310625,TB,1,front,0.967426,20.0000
nnunet_v1,20260520,308240_310625,TB,2,middle,0.966105,15.0000
nnunet_v1,20260520,308240_310625,TB,3,end,0.984156,5.4560
nnunet_v1,20260520,308240_310625,TB,4,left_kidney,0.929074,8.2411
nnunet_v1,20260520,308240_310625,TB,5,right_kidney,0.930545,107.9119
nnunet_v1,20260520,308240_310625,TB,6,testis,0.951738,4.8828
nnunet_v1,20260520,308240_310625,TB,7,thoracic_cavity,0.980762,3.9062
nnunet_v1,20260520,308240_310625,TB,8,abdominal_and_pelvic_cavity,0.979138,4.8828
nnunet_v1,20260520,313120_310061,TB,1,front,0.991954,5.0000
nnunet_v1,20260520,313120_310061,TB,2,middle,0.975185,9.7761
nnunet_v1,20260520,313120_310061,TB,3,end,0.982544,5.7951
nnunet_v1,20260520,313120_310061,TB,4,left_kidney,0.950956,4.0265
nnunet_v1,20260520,313120_310061,TB,5,right_kidney,0.960428,1.9531
nnunet_v1,20260520,313120_310061,TB,6,testis,0.936350,6.3450
nnunet_v1,20260520,313120_310061,TB,7,thoracic_cavity,0.982238,2.9297
nnunet_v1,20260520,313120_310061,TB,8,abdominal_and_pelvic_cavity,0.983799,3.5210
nnunet_v1,20260520,404728_401086,TB,1,front,0.974342,20.0000
nnunet_v1,20260520,404728_401086,TB,2,middle,0.957273,20.0000
nnunet_v1,20260520,404728_401086,TB,3,end,0.985261,5.0000
nnunet_v1,20260520,404728_401086,TB,4,left_kidney,0.830921,124.4160
nnunet_v1,20260520,404728_401086,TB,5,right_kidney,0.838002,11.8488
nnunet_v1,20260520,404728_401086,TB,6,testis,0.911722,8.7346
nnunet_v1,20260520,404728_401086,TB,7,thoracic_cavity,0.977363,4.8828
nnunet_v1,20260520,404728_401086,TB,8,abdominal_and_pelvic_cavity,0.982440,4.8828
nnunet_v1,20260520,404717_401091,TB,1,front,0.989969,9.7761
nnunet_v1,20260520,404717_401091,TB,2,middle,0.975277,10.0000
nnunet_v1,20260520,404717_401091,TB,3,end,0.981933,10.0000
nnunet_v1,20260520,404717_401091,TB,4,left_kidney,0.927184,6.1154
nnunet_v1,20260520,404717_401091,TB,5,right_kidney,0.964787,1.9531
nnunet_v1,20260520,404717_401091,TB,6,testis,0.954088,5.1872
nnunet_v1,20260520,404717_401091,TB,7,thoracic_cavity,0.982432,2.7621
nnunet_v1,20260520,404717_401091,TB,8,abdominal_and_pelvic_cavity,0.983848,3.9062
nnunet_v1,20260520,501877_500337,TB,1,front,0.988454,9.3268
nnunet_v1,20260520,501877_500337,TB,2,middle,0.972331,10.0000
nnunet_v1,20260520,501877_500337,TB,3,end,0.982581,5.0000
nnunet_v1,20260520,501877_500337,TB,4,left_kidney,0.934210,2.9297
nnunet_v1,20260520,501877_500337,TB,5,right_kidney,0.937260,4.1432
nnunet_v1,20260520,501877_500337,TB,6,testis,0.912871,20.0000
nnunet_v1,20260520,501877_500337,TB,7,thoracic_cavity,0.977689,4.1432
nnunet_v1,20260520,501877_500337,TB,8,abdominal_and_pelvic_cavity,0.977791,4.8828
nnunet_v1,20260520,405948_400388,TB,1,front,0.983579,15.0000
nnunet_v1,20260520,405948_400388,TB,2,middle,0.964846,15.0000
nnunet_v1,20260520,405948_400388,TB,3,end,0.983739,6.1154
nnunet_v1,20260520,405948_400388,TB,4,left_kidney,0.963383,2.1837
nnunet_v1,20260520,405948_400388,TB,5,right_kidney,0.910218,9.3268
nnunet_v1,20260520,405948_400388,TB,6,testis,0.935677,5.8594
nnunet_v1,20260520,405948_400388,TB,7,thoracic_cavity,0.976499,4.8828
nnunet_v1,20260520,405948_400388,TB,8,abdominal_and_pelvic_cavity,0.982659,4.8828
nnunet_v1,20260520,403390_402127,TB,1,front,0.982388,14.2811
nnunet_v1,20260520,403390_402127,TB,2,middle,0.972665,10.0000
nnunet_v1,20260520,403390_402127,TB,3,end,0.984956,5.0945
nnunet_v1,20260520,403390_402127,TB,4,left_kidney,0.892286,13.9779
nnunet_v1,20260520,403390_402127,TB,5,right_kidney,0.897759,134.3936
nnunet_v1,20260520,403390_402127,TB,6,testis,0.947394,5.7122
nnunet_v1,20260520,403390_402127,TB,7,thoracic_cavity,0.981201,3.0882
nnunet_v1,20260520,403390_402127,TB,8,abdominal_and_pelvic_cavity,0.980463,5.0000
nnunet_v1,20260520,403339_402475,TB,1,front,0.974520,19.7739
nnunet_v1,20260520,403339_402475,TB,2,middle,0.960880,17.1366
nnunet_v1,20260520,403339_402475,TB,3,end,0.978187,11.2290
nnunet_v1,20260520,403339_402475,TB,4,left_kidney,0.868387,139.5929
nnunet_v1,20260520,403339_402475,TB,5,right_kidney,0.863383,11.7998
nnunet_v1,20260520,403339_402475,TB,6,testis,0.949929,6.5510
nnunet_v1,20260520,403339_402475,TB,7,thoracic_cavity,0.974882,5.0000
nnunet_v1,20260520,403339_402475,TB,8,abdominal_and_pelvic_cavity,0.978238,5.1872
nnunet_v1,20260521,156052000030695,HZAU,1,front,0.961337,25.0000
nnunet_v1,20260521,156052000030695,HZAU,2,middle,0.983897,5.1541
nnunet_v1,20260521,156052000030695,HZAU,3,end,0.991080,5.0000
nnunet_v1,20260521,156052000030695,HZAU,4,left_kidney,0.838388,119.0920
nnunet_v1,20260521,156052000030695,HZAU,5,right_kidney,0.758211,17.5129
nnunet_v1,20260521,156052000030695,HZAU,7,thoracic_cavity,0.992041,1.2510
nnunet_v1,20260521,156052000030695,HZAU,8,abdominal_and_pelvic_cavity,0.992945,1.2510
nnunet_v1,20260521,156052000030695,HZAU,9,head,0.909016,25.0000
nnunet_v1,20260521,156052000037131,HZAU,1,front,0.984675,10.0000
nnunet_v1,20260521,156052000037131,HZAU,2,middle,0.980235,8.1049
nnunet_v1,20260521,156052000037131,HZAU,3,end,0.991409,5.0000
nnunet_v1,20260521,156052000037131,HZAU,4,left_kidney,0.981708,1.2510
nnunet_v1,20260521,156052000037131,HZAU,5,right_kidney,0.984025,1.2510
nnunet_v1,20260521,156052000037131,HZAU,7,thoracic_cavity,0.991899,1.2510
nnunet_v1,20260521,156052000037131,HZAU,8,abdominal_and_pelvic_cavity,0.993128,1.2510
nnunet_v1,20260521,156052000037131,HZAU,9,head,0.985727,5.0000
nnunet_v1,20260521,133140_114338,TB,1,front,0.991684,5.0000
nnunet_v1,20260521,133140_114338,TB,2,middle,0.980088,5.4560
nnunet_v1,20260521,133140_114338,TB,3,end,0.984580,5.0000
nnunet_v1,20260521,133140_114338,TB,4,left_kidney,0.953804,2.7621
nnunet_v1,20260521,133140_114338,TB,5,right_kidney,0.942916,10.9166
nnunet_v1,20260521,133140_114338,TB,6,testis,0.953929,7.2565
nnunet_v1,20260521,133140_114338,TB,7,thoracic_cavity,0.977665,5.0000
nnunet_v1,20260521,133140_114338,TB,8,abdominal_and_pelvic_cavity,0.982828,5.0000
nnunet_v1,20260521,156052000030703,HZAU,1,front,0.986932,10.0000
nnunet_v1,20260521,156052000030703,HZAU,2,middle,0.983400,6.0189
nnunet_v1,20260521,156052000030703,HZAU,3,end,0.989394,5.9320
nnunet_v1,20260521,156052000030703,HZAU,4,left_kidney,0.977186,1.0640
nnunet_v1,20260521,156052000030703,HZAU,5,right_kidney,0.975941,2.1280
nnunet_v1,20260521,156052000030703,HZAU,7,thoracic_cavity,0.992016,1.0640
nnunet_v1,20260521,156052000030703,HZAU,8,abdominal_and_pelvic_cavity,0.993622,1.5047
nnunet_v1,20260521,156052000030703,HZAU,9,head,0.970362,10.0000
nnunet_v1,20260521,156052000037130,HZAU,1,front,0.983044,10.0000
nnunet_v1,20260521,156052000037130,HZAU,2,middle,0.980239,10.0000
nnunet_v1,20260521,156052000037130,HZAU,3,end,0.991576,5.0000
nnunet_v1,20260521,156052000037130,HZAU,4,left_kidney,0.980718,1.0180
nnunet_v1,20260521,156052000037130,HZAU,5,right_kidney,0.970581,2.0360
nnunet_v1,20260521,156052000037130,HZAU,7,thoracic_cavity,0.990708,1.0180
