network,seed,case_id,source,class_id,class_name,is_evaluable,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
nnunet_2d_condlr,20260520,156052000030695,HZAU,1,front,True,11025576,2620359,2793522,2616293,177229,4066,8227988,23.729309017506207,1.6074352940835017,0.0368778919124044,74.62637779649789,0.966512932219973,0.9351959616641192,0.9365571490040171,0.9984483042209102,0.978914405184304,0.021085594815696013,0.06763538889136947,25.0,False,nan,nan,nan
nnunet_2d_condlr,20260520,156052000030695,HZAU,2,middle,True,11025576,2789397,2715858,2695204,20654,94193,8215525,24.44501765712739,0.18732808154422045,0.8543136431148812,74.5133406182135,0.9791386593354895,0.9591299232647379,0.9923950368539151,0.9662317698054455,0.9974922837398265,0.0025077162601735586,0.007404467703951786,18.921544190572995,False,nan,nan,nan
nnunet_2d_condlr,20260520,156052000030695,HZAU,3,end,True,11025576,2617951,2697521,2605687,91834,12264,8315791,23.633114496693867,0.8329179355346151,0.11123228391877213,75.42273528385275,0.980416038312308,0.9615844061429227,0.9659561501096747,0.995315420342092,0.9890772959069892,0.01092270409301081,0.035078578628858985,20.0,False,nan,nan,nan
nnunet_2d_condlr,20260520,156052000030695,HZAU,4,left_kidney,True,11025576,21046,21413,20684,729,362,11003801,0.1876001761722018,0.006611899459946582,0.0032832751776415126,99.80250464919021,0.9743046232836383,0.9498966704936854,0.9659552608228646,0.9827995818682885,0.9999337545538065,6.624544619352213e-05,0.03463841109949634,2.5019989013671875,False,nan,nan,nan
nnunet_2d_condlr,20260520,156052000030695,HZAU,5,right_kidney,True,11025576,18585,18327,18163,164,422,11006827,0.16473515760083646,0.001487450632964663,0.0038274644336041947,99.82994992733259,0.984124403987863,0.9687449997333191,0.9910514541387024,0.9772935162765671,0.9999851003784777,1.4899621522357927e-05,0.00882432068872747,1.2509994506835938,False,nan,nan,nan
nnunet_2d_condlr,20260520,156052000030695,HZAU,6,testis,False,11025576,0,0,0,0,0,11025576,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
nnunet_2d_condlr,20260520,156052000030695,HZAU,7,thoracic_cavity,True,11025576,484682,485889,482123,3766,2559,10537128,4.372769277541599,0.03415694563259099,0.02320967176680837,95.569864105059,0.9934832176110764,0.9870508221960168,0.9922492585755183,0.9947202495656946,0.9996427248011411,0.00035727519885884443,0.007770043038528355,1.2509994506835938,False,nan,nan,nan
nnunet_2d_condlr,20260520,156052000030695,HZAU,8,abdominal_and_pelvic_cavity,True,11025576,1433744,1431915,1422234,9681,11510,9582151,12.89940770441381,0.08780493644957868,0.10439363893550778,86.9083937202011,0.992605191336443,0.9853189462563001,0.9932391238306743,0.9919720675378589,0.9989907037571133,0.0010092962428866561,0.006752251447957236,1.7691857844828647,False,nan,nan,nan
nnunet_2d_condlr,20260520,156052000030695,HZAU,9,head,True,11025576,1021821,851554,848610,2944,173211,10000811,7.696740741708188,0.026701552825902246,1.5709927535758677,90.70556495189004,0.9059691732835123,0.8281020526657331,0.9965427911794202,0.830487923031529,0.9997057105057051,0.0002942894942948923,0.0028811308438562136,25.0,False,nan,nan,nan
nnunet_2d_condlr,20260520,133140_114338,TB,1,front,True,19418036,4962314,4826259,4815649,10610,146665,14445112,24.799876774355553,0.054639923419649655,0.7553029564884935,74.3901803457363,0.9839327959243906,0.9683737374631103,0.9978016099011677,0.9704442322674462,0.9992660345847824,0.0007339654152175865,0.002138115403418647,10.0,False,nan,nan,nan
