network,kidney_side,class_id,metric,n_pairs,baseline_mean,condlr_mean,mean_delta,median_delta,wilcoxon_W,p_value,effect_size_r,holm_adjusted_p,significant_005
swinunetr,left_kidney,4,Dice,39,0.93370155629117,0.9588299449680531,0.02512838867688309,0.0036477238428881398,27.0,4.58749127574265e-09,0.8111554632308001,3.211243893019855e-08,True
swinunetr,left_kidney,4,HD95,39,15.022747942835508,3.324596744052869,-11.698151198782641,-0.4266373700475796,64.0,1.4423899663484504e-05,0.728475705270636,7.211949831742251e-05,True
swinunetr,right_kidney,5,Dice,39,0.9346714989287574,0.9631598314328562,0.028488332504098875,0.006086596938366551,14.0,4.001776687800884e-10,0.8402051079195064,3.2014213502407074e-09,True
swinunetr,right_kidney,5,HD95,39,17.391666870594282,2.557134042971154,-14.834532827623125,-0.5082100536240932,33.0,9.854693681337492e-07,0.7977479349129356,5.912816208802496e-06,True
nnunet_2d,left_kidney,4,Dice,39,0.9261545182160682,0.9442476377440757,0.018093119528007236,-0.0010115245106118165,374.0,0.8306541132660641,0.03575340884763857,1.0,False
nnunet_2d,left_kidney,4,HD95,39,23.668284353547104,11.041985232003075,-12.626299121544026,-0.36458333333333304,227.0,0.060347988574409914,0.364237852635318,0.18104396572322973,False
nnunet_2d,right_kidney,5,Dice,39,0.9228092929163537,0.9449199441729222,0.02211065125656837,-0.0008519227721618394,342.0,0.5116035420760454,0.1072602265429157,1.0,False
nnunet_2d,right_kidney,5,HD95,39,25.952913291499755,10.205094920299063,-15.747818371200696,-0.21439775274645823,189.0,0.014225371530029283,0.44915219864845957,0.05690148612011713,False
