network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
nnunet_2d_condlr,20260520,156202411000574,0.000000,0.000081,0.979583,0.979502,0,0
nnunet_2d_condlr,20260520,205870_202923,0.000000,-0.000052,0.973784,0.973836,0,0
nnunet_2d_condlr,20260520,206178_202851,0.000000,0.000005,0.969663,0.969658,0,0
nnunet_2d_condlr,20260520,207541_202151,0.000000,0.000056,0.962485,0.962429,0,0
nnunet_2d_condlr,20260520,207633_204331,0.000000,-0.000002,0.972032,0.972034,0,0
nnunet_2d_condlr,20260520,305810_305052,0.000000,-0.000050,0.960286,0.960336,0,0
nnunet_2d_condlr,20260520,308240_310625,0.000000,0.000078,0.956444,0.956365,0,0
nnunet_2d_condlr,20260520,308577_304377,0.000000,0.000833,0.944203,0.943371,0,0
nnunet_2d_condlr,20260520,308495_301122,0.000000,0.000149,0.961465,0.961316,0,0
nnunet_2d_condlr,20260520,313120_310061,0.000000,-0.000182,0.956041,0.956223,0,0
nnunet_2d_condlr,20260520,403339_402475,0.000000,-0.000025,0.948187,0.948212,0,0
nnunet_2d_condlr,20260520,404717_401091,0.000000,-0.000688,0.943938,0.944626,0,0
nnunet_2d_condlr,20260520,403390_402127,0.000000,0.000000,0.960865,0.960865,0,0
nnunet_2d_condlr,20260520,404728_401086,0.000000,0.007025,0.919064,0.912038,0,0
nnunet_2d_condlr,20260520,405948_400388,0.000000,0.001307,0.929445,0.928137,0,0
nnunet_2d_condlr,20260520,501877_500337,0.000000,0.000225,0.934513,0.934288,0,0
nnunet_2d,20260521,133140_114338,0.000000,0.000043,0.961802,0.961759,0,0
nnunet_2d,20260521,136518_122095,0.516657,0.516069,0.972971,0.456902,67632,1
nnunet_2d,20260521,136032_122089,0.000000,0.000002,0.966019,0.966018,0,0
nnunet_2d,20260521,136514_122984,0.016345,0.015980,0.969671,0.953692,2005,1
nnunet_2d,20260521,146478_111610,0.000000,0.000057,0.957511,0.957454,0,0
nnunet_2d,20260521,156052000030695,0.085791,0.087660,0.976068,0.888409,3400,1
nnunet_2d,20260521,156052000036762,0.070886,0.069983,0.946315,0.876332,3334,1
nnunet_2d,20260521,156052000030703,0.000000,0.000013,0.982564,0.982550,0,0
nnunet_2d,20260521,156052000036792,0.846361,0.847119,0.975537,0.128418,35278,1
nnunet_2d,20260521,156052000037111,0.000000,-0.000357,0.973725,0.974082,0,0
nnunet_2d,20260521,156052000037130,0.000065,-0.000014,0.980336,0.980350,5,1
nnunet_2d,20260521,156052000036803,0.002660,0.002649,0.981447,0.978798,264,1
nnunet_2d,20260521,156052000037131,0.000000,0.000050,0.986307,0.986257,0,0
