network,seed,case_id,source,class_id,class_name,is_evaluable,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
swinunetr,20260522,156052000036762,HZAU,1,front,True,12788880,3240912,3186740,3152832,33908,88080,9514060,24.65291722183647,0.2651365874103127,0.6887233283915402,74.39322286236167,0.9810213745236985,0.9627497083809187,0.9893596590873431,0.9728224647876894,0.9964486684496638,0.003551331550336155,0.010462487102395869,10.0,False,nan,nan,nan
swinunetr,20260522,156052000036762,HZAU,2,middle,True,12788880,2983434,3024684,2932306,92378,51128,9713068,22.9285598113361,0.722330649751972,0.3997848130563427,75.94932472585558,0.976114650211597,0.9533437024109406,0.9694586277442536,0.9828627011691896,0.9905789089042967,0.009421091095703348,0.030963647930539104,10.0,False,nan,nan,nan
swinunetr,20260522,156052000036762,HZAU,3,end,True,12788880,3153163,3149926,3121634,28292,31529,9607425,24.408970918485434,0.22122343786164228,0.24653448933761204,75.1232711543153,0.9905092566517782,0.981196968053925,0.9910182016974367,0.9900008340831096,0.9970638407084808,0.002936159291519251,0.008972577694207373,5.0,False,nan,nan,nan
swinunetr,20260522,156052000036762,HZAU,4,left_kidney,True,12788880,22093,21741,21151,590,942,12766197,0.1653858664714971,0.004613382876373849,0.007365774016176554,99.82263497663595,0.9650499612173199,0.9324604329233347,0.9728623338392898,0.9573620603811162,0.9999537863363742,4.621366362578149e-05,0.02670529126872765,2.501999855041504,False,nan,nan,nan
swinunetr,20260522,156052000036762,HZAU,5,right_kidney,True,12788880,24940,24488,24049,439,891,12763501,0.1880461776168046,0.003432669631742577,0.006966990072625594,99.80155416267883,0.9730921744760055,0.9475944678671342,0.9820728520091473,0.9642742582197273,0.9999656062313047,3.4393768695246136e-05,0.01760224538893344,1.2510032653808594,False,nan,nan,nan
swinunetr,20260522,156052000036762,HZAU,6,testis,False,12788880,0,0,0,0,0,12788880,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
swinunetr,20260522,156052000036762,HZAU,7,thoracic_cavity,True,12788880,621252,624412,617475,6937,3777,12160691,4.828217951845666,0.05424243561594135,0.02953346970180344,95.08800614283659,0.9913989647288515,0.9829446233537996,0.9888903480394355,0.9939203415039308,0.9994298806636758,0.0005701193363242203,0.011166161235698234,1.251007080078125,False,nan,nan,nan
swinunetr,20260522,156052000036762,HZAU,8,abdominal_and_pelvic_cavity,True,12788880,1837345,1835138,1820867,14271,16478,10937264,14.23789260670207,0.11158913055717154,0.12884631023201407,85.52167195250874,0.9916271906500316,0.9833934249866063,0.9922234731121038,0.991031624436347,0.998696895001477,0.0013031049985230381,0.007767185803428316,2.5019989013671875,False,nan,nan,nan
swinunetr,20260522,156052000036762,HZAU,9,head,True,12788880,891348,902636,879958,22678,11390,11874854,6.8806494392003055,0.1773259268989935,0.08906174739304772,92.85296288650765,0.9810098640790553,0.9627275372910618,0.9748758081884613,0.9872216014396173,0.9980938903967647,0.0019061096032353601,0.025442363700821678,5.0,False,nan,nan,nan
swinunetr,20260522,156052000030695,HZAU,1,front,True,11025241,2620359,2795167,2604696,190471,15663,8214411,23.624844119053723,1.7275903538072317,0.14206492175545188,74.50550060538359,0.9619364767152813,0.9266643660413472,0.931857023211851,0.9940225747693351,0.9773380518608114,0.022661948139188627,0.07268889491859704,21.10415032503395,False,nan,nan,nan
swinunetr,20260522,156052000030695,HZAU,2,middle,True,11025241,2789397,2744022,2712380,31642,77017,8204202,24.60154839245691,0.28699599401047104,0.6985516234973912,74.41290399003523,0.9803631353418203,0.961482631044803,0.9884687513438304,0.972389373043708,0.9961580136777725,0.00384198632222757,0.011343670334484478,6.733869254220674,False,nan,nan,nan
swinunetr,20260522,156052000030695,HZAU,3,end,True,11025241,2617951,2642855,2602962,39893,14989,8367397,23.609116571692173,0.36183336037733776,0.1359516767025773,75.89309839122791,0.9895677582484509,0.979350932560376,0.9849053391124372,0.9942745299663744,0.9952549513576908,0.004745048642309234,0.015238253122384644,5.0,False,nan,nan,nan
swinunetr,20260522,156052000030695,HZAU,4,left_kidney,True,11025241,21046,34644,20197,14447,849,10989748,0.1831887393663322,0.1310356843900283,0.0077005119434577435,99.67807506430019,0.7253366852217633,0.5690417828867664,0.5829869530077358,0.9596597928347429,0.9986871370418281,0.0013128629581718608,0.6864487313503753,129.24728927081276,False,nan,nan,nan
swinunetr,20260522,156052000030695,HZAU,5,right_kidney,True,11025241,18585,4113,3907,206,14678,11006450,0.03543686709433381,0.001868439882629323,0.13313087668559806,99.82956381633744,0.3442594061150762,0.20791868447661113,0.949914903963044,0.21022329835889159,0.9999812840521226,1.871594787735712e-05,0.011084207694377186,24.570923188949195,False,nan,nan,nan
swinunetr,20260522,156052000030695,HZAU,6,testis,False,11025241,0,0,0,0,0,11025241,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
