network,seed,case_id,source,class_id,class_name,is_evaluable,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
nnunet_2d_condlr,20260521,156052000030703,HZAU,1,front,True,15882231,3839561,3876330,3779352,96978,60209,11945692,23.796102701188516,0.6106069103263893,0.3790966143232648,75.21419377416183,0.9796281466391892,0.9600697465463952,0.9749820061759448,0.9843187801938815,0.9919471346470509,0.008052865352949138,0.025257575019644173,10.0,False,nan,nan,nan
nnunet_2d_condlr,20260521,156052000030703,HZAU,2,middle,True,15882231,3631113,3694111,3605760,88351,25353,12162767,22.70310764274868,0.5562883451323684,0.15963122561307663,76.58097278650587,0.9844777442983313,0.969430003893034,0.9760832849906242,0.9930178432893716,0.9927883316445079,0.007211668355492127,0.024331658089406745,5.0,False,nan,nan,nan
nnunet_2d_condlr,20260521,156052000030703,HZAU,3,end,True,15882231,3967644,3956134,3939879,16255,27765,11898332,24.806836016929864,0.10234708209444883,0.1748180088804904,74.91599889209519,0.9944445692446204,0.9889505230930804,0.9958911907432862,0.9930021443456116,0.9986357059627833,0.0013642940372167328,0.004096889741115887,2.3791659556741385,False,nan,nan,nan
nnunet_2d_condlr,20260521,156052000030703,HZAU,4,left_kidney,True,15882231,25703,25950,25258,692,445,15855836,0.1590330728724447,0.004357070489656019,0.002801873364012902,99.83380798327389,0.9779877257855304,0.95692365978405,0.9733333333333334,0.9826868458934754,0.9999563586681776,4.3641331822451926e-05,0.026922927284752752,1.0640029907226562,False,nan,nan,nan
nnunet_2d_condlr,20260521,156052000030703,HZAU,5,right_kidney,True,15882231,27876,27500,27017,483,859,15853872,0.17010834309109343,0.0030411344602656893,0.005408560044240636,99.8214419624044,0.9757656746605028,0.9526781621354773,0.9824363636363637,0.9691849619744584,0.9999695351844966,3.046481550337431e-05,0.017326732673267328,2.3791753385893895,False,nan,nan,nan
nnunet_2d_condlr,20260521,156052000030703,HZAU,6,testis,False,15882231,0,0,0,0,0,15882231,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
nnunet_2d_condlr,20260521,156052000030703,HZAU,7,thoracic_cavity,True,15882231,704824,707223,701284,5939,3540,15171468,4.4155257532773575,0.03739399080645534,0.022289060019338593,95.52479119589685,0.9932870506434984,0.9866636276789872,0.9916023658732819,0.9949774695526826,0.9996086946867802,0.0003913053132198405,0.008426217041417432,1.0640010833740234,False,nan,nan,nan
nnunet_2d_condlr,20260521,156052000030703,HZAU,8,abdominal_and_pelvic_cavity,True,15882231,2392002,2397012,2378742,18270,13260,13471959,14.97737943743546,0.11503421654048478,0.08348952990294625,84.82409681612111,0.9934161812849158,0.9869184888676464,0.992378010623226,0.9944565263741418,0.9986456864446112,0.001354313555388867,0.007637953479972007,1.504730157305579,False,nan,nan,nan
nnunet_2d_condlr,20260521,156052000030703,HZAU,9,head,True,15882231,1275722,1182605,1180052,2553,95670,14603956,7.4300140830340515,0.01607456786140436,0.6023712915395828,91.95154005756496,0.9600447784204461,0.9231597269758073,0.9978412064890644,0.9250071724090358,0.9998252149093257,0.00017478509067430143,0.00200121970147101,10.0,False,nan,nan,nan
nnunet_2d_condlr,20260521,156052000030695,HZAU,1,front,True,11024283,2620359,2793689,2616208,177481,4151,8226443,23.731321120838427,1.6099096875506553,0.037653242392271684,74.62111594921865,0.9664517196744469,0.9350813484688189,0.93647073815303,0.998415865917609,0.9788811750320445,0.021118824967955446,0.06773155891998005,25.0,False,nan,nan,nan
