network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
swinunetr_condlr,20260520,207541_202151,0.000019,-0.000413,0.950214,0.950627,2,1
swinunetr_condlr,20260520,207633_204331,0.000000,0.000050,0.966086,0.966036,0,0
swinunetr_condlr,20260520,305810_305052,0.000000,-0.000051,0.957658,0.957709,0,0
swinunetr_condlr,20260520,308495_301122,0.000000,0.000292,0.939889,0.939597,0,0
swinunetr_condlr,20260520,308577_304377,0.000000,0.001048,0.940816,0.939768,0,0
swinunetr_condlr,20260520,308240_310625,0.000000,-0.000075,0.957688,0.957763,0,0
swinunetr_condlr,20260520,313120_310061,0.000000,-0.000051,0.949057,0.949109,0,0
swinunetr_condlr,20260520,404717_401091,0.000000,-0.000629,0.949759,0.950388,0,0
swinunetr_condlr,20260520,403339_402475,0.000000,-0.000013,0.941697,0.941710,0,0
swinunetr_condlr,20260520,403390_402127,0.000055,0.000086,0.943102,0.943016,6,1
swinunetr_condlr,20260520,404728_401086,0.000000,0.002205,0.930135,0.927930,0,0
swinunetr_condlr,20260520,405948_400388,0.000000,0.001390,0.932991,0.931600,0,0
swinunetr_condlr,20260520,501877_500337,0.000000,0.000042,0.935987,0.935946,0,0
swinunetr,20260521,133140_114338,0.024193,0.024348,0.954267,0.929919,3043,1
swinunetr,20260521,136518_122095,0.096820,0.095654,0.964019,0.868365,12674,1
swinunetr,20260521,136032_122089,0.000000,0.000084,0.949232,0.949148,0,0
swinunetr,20260521,136514_122984,0.000000,-0.000061,0.958813,0.958874,0,0
swinunetr,20260521,146478_111610,0.000051,0.000102,0.954419,0.954317,6,1
swinunetr,20260521,156052000030695,0.048296,0.048800,0.968502,0.919703,1914,1
swinunetr,20260521,156052000036762,0.000000,0.000133,0.975278,0.975145,0,0
swinunetr,20260521,156052000030703,0.000000,-0.000362,0.962082,0.962444,0,0
swinunetr,20260521,156052000036792,0.005542,0.005628,0.975071,0.969443,231,1
swinunetr,20260521,156052000037111,0.000000,0.000299,0.955183,0.954884,0,0
swinunetr,20260521,156052000036803,0.001784,0.001780,0.978025,0.976245,177,1
swinunetr,20260521,156052000037130,0.000000,-0.000082,0.969443,0.969526,0,0
swinunetr,20260521,156052000037131,0.000000,-0.000008,0.980875,0.980883,0,0
swinunetr,20260521,156052000037132,0.001641,0.001784,0.949164,0.947381,62,1
swinunetr,20260521,156052000037134,0.000000,-0.000012,0.967294,0.967306,0,0
swinunetr,20260521,156052000037142,0.040260,0.040807,0.977535,0.936727,2507,1
