network,seed,case_id,source,class_id,class_name,is_evaluable,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
nnunet_2d,20260522,156052000030695,HZAU,1,front,True,11022320,2620359,2773913,2616885,157028,3474,8244933,23.741689589850413,1.424636555643458,0.03151786556732158,74.80215598893881,0.9702458459640152,0.9422111502646192,0.9433911589873223,0.9986742274627255,0.9813105535719577,0.018689446428042215,0.05992613989151868,25.0,False,nan,nan,nan
nnunet_2d,20260522,156052000030695,HZAU,2,middle,True,11022320,2789397,2734415,2719913,14502,69484,8218421,24.676411136675398,0.13156939736824916,0.6303936013470848,74.56162586460927,0.9847956447467799,0.9700467099563858,0.9946964890113608,0.9750899567182442,0.9982385356938235,0.0017614643061765547,0.005198973111392892,10.0,False,nan,nan,nan
nnunet_2d,20260522,156052000030695,HZAU,3,end,True,11022320,2617951,2667149,2608556,58593,9395,8345776,23.666124735990245,0.53158500206853,0.0852361390342505,75.71705412290697,0.9871359103895858,0.9745985868343655,0.9780315985346151,0.9964113155670217,0.9930282689872375,0.006971731012762529,0.022381243957583622,10.0,False,nan,nan,nan
nnunet_2d,20260522,156052000030695,HZAU,4,left_kidney,True,11022320,21046,21184,20590,594,456,11000680,0.18680277836245002,0.005389065097003172,0.0041370600744670815,99.80367109646609,0.9751361591285815,0.9514787430683919,0.9719599697885196,0.9783331749501093,0.9999460062534575,5.39937465424459e-05,0.02822389052551554,2.7973198115434115,False,nan,nan,nan
nnunet_2d,20260522,156052000030695,HZAU,5,right_kidney,True,11022320,18585,18298,18147,151,438,11003584,0.1646386604634959,0.0013699475246590554,0.003973755071527592,99.83001763694031,0.9840305831955102,0.9685631938514091,0.9917477319925675,0.9764326069410815,0.9999862773867237,1.372261327631027e-05,0.008124831853645414,1.2509994506835938,False,nan,nan,nan
nnunet_2d,20260522,156052000030695,HZAU,6,testis,False,11022320,0,0,0,0,0,11022320,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
nnunet_2d,20260522,156052000030695,HZAU,7,thoracic_cavity,True,11022320,484682,484978,482104,2874,2578,10534764,4.373888618729995,0.026074365469338577,0.0233889054210003,95.57664811037967,0.9943774106387806,0.9888176947878807,0.9940739579939709,0.9946810486050648,0.9997272633582592,0.0002727366417407772,0.005929661097379312,1.2509994506835938,False,nan,nan,nan
nnunet_2d,20260522,156052000030695,HZAU,8,abdominal_and_pelvic_cavity,True,11022320,1433744,1433505,1425001,8504,8743,9580072,12.92832180520979,0.07715254138874574,0.07932086892777564,86.91520478447369,0.9939848265706954,0.9880415850810679,0.9940676872421094,0.9939019797118593,0.9991131112690769,0.0008868887309231319,0.005931323862558449,1.251007080078125,False,nan,nan,nan
nnunet_2d,20260522,156052000030695,HZAU,9,head,True,11022320,1021821,878979,876708,2271,145113,9998228,7.953933473170803,0.02060364787086566,1.3165377161976788,90.70892516276065,0.9224621212121212,0.8560832425211797,0.9974163205264289,0.857985889896567,0.9997729113317245,0.00022708866827545306,0.0022225027671187027,25.0,False,nan,nan,nan
nnunet_2d,20260522,146478_111610,TB,1,front,True,17983914,4018205,4028568,4012664,15904,5541,13949805,22.312517731123492,0.08843458659777845,0.030810867979017248,77.56823681429971,0.9973349565098953,0.994684080177308,0.9960521952217264,0.9986210260551664,0.9988612106982896,0.0011387893017103536,0.003957986215237899,0.9765625,False,nan,nan,nan
