method,cohort,class_id,class_name,n_cases,n_evaluable,n_gt_present,n_pred_present,missed_count,missed_rate,Dice_n_valid,Dice_mean,Dice_median,Dice_std,Dice_max,IoU_n_valid,IoU_mean,IoU_median,IoU_std,IoU_max,Precision_n_valid,Precision_mean,Precision_median,Precision_std,Precision_max,Recall_n_valid,Recall_mean,Recall_median,Recall_std,Recall_max,Specificity_n_valid,Specificity_mean,Specificity_median,Specificity_std,Specificity_max,FPR_n_valid,FPR_mean,FPR_median,FPR_std,FPR_max,FP_GT_ratio_n_valid,FP_GT_ratio_mean,FP_GT_ratio_median,FP_GT_ratio_std,FP_GT_ratio_max,HD95_n_valid,HD95_mean,HD95_median,HD95_std,HD95_max,TP_percent_n_valid,TP_percent_mean,TP_percent_median,TP_percent_std,TP_percent_max,FP_percent_n_valid,FP_percent_mean,FP_percent_median,FP_percent_std,FP_percent_max,FN_percent_n_valid,FN_percent_mean,FN_percent_median,FN_percent_std,FN_percent_max,TN_percent_n_valid,TN_percent_mean,TN_percent_median,TN_percent_std,TN_percent_max,absent_FP_rate_n_valid,absent_FP_rate_mean,absent_FP_rate_median,absent_FP_rate_std,absent_FP_rate_max,absent_FP_incidence_n_valid,absent_FP_incidence_rate
swinunetr_seed20260520,v1_comparison,1,front,39,39,39,39,0,0.0,39,0.9774284010740394,0.978689379649874,0.012156201747123598,0.9908289623800064,39,0.9561137537502739,0.9582680921445424,0.022497514415128008,0.9818246119277814,39,0.9793455613712498,0.9856868319499476,0.01708489966501815,0.9984850864518444,39,0.9759445382174119,0.9809051009838142,0.020501416278881326,0.9985965090798086,39,0.993143935753516,0.9953331039789064,0.005605389363950761,0.999471656777995,39,0.006856064246483833,0.0046668960210935,0.005605389363950753,0.0220847560090527,39,0.02095297512800961,0.0141425281080553,0.017785848787195458,0.0700010291806199,39,14.490870383703285,15.0,6.283364207586175,36.48862801670576,39,24.708529231089862,24.74710219062382,1.335492072762261,27.32026655757157,39,0.5161131044472076,0.3508970168491497,0.4257574154950379,1.6788211629539862,39,0.6182390582710783,0.4881748221658534,0.5260786218037639,2.6125298883242367,39,74.15711860619186,74.26046277009026,1.2536819213915638,76.91950315190968,0,,,,,0,
swinunetr_seed20260520,v1_comparison,2,middle,39,39,39,39,0,0.0,39,0.9702154208529589,0.9739063485643336,0.008747240628564495,0.982224727451227,39,0.9422894686453855,0.9491398248119804,0.016396691305565595,0.965070339144202,39,0.9668454207402312,0.972468768972054,0.018223701365688905,0.9874762897729434,39,0.9739292420142747,0.9767915494047272,0.011233466412502544,0.9879270268296076,39,0.9891851403072173,0.9913446332139394,0.005866812387660959,0.9958030829442386,39,0.01081485969278298,0.0086553667860606,0.0058668123876609675,0.0280237185576838,39,0.033844125673687636,0.0276042906676247,0.019729029005691383,0.0855336324720993,39,11.910323139701445,10.0,4.443159635735265,25.0,39,23.887378872103316,23.83759735856623,1.082441373542667,25.678059292863665,39,0.8189074421191597,0.6616193175109413,0.45160973507313523,2.108376876378024,39,0.6466911884899257,0.603317706826412,0.29845433120458875,1.57919184031794,39,74.64702249728761,74.61381743748878,1.1226109687287305,76.7357810890241,0,,,,,0,
swinunetr_seed20260520,v1_comparison,3,end,39,39,39,39,0,0.0,39,0.9855262102780349,0.9860589143747084,0.004586466395585669,0.9914788465823904,39,0.9715045985437609,0.9725011919865258,0.008893088625728112,0.983101686288416,39,0.9861557846543266,0.9871200092604568,0.00568683854958479,0.9942196248710268,39,0.9849387558741771,0.9856534807899896,0.007159224822928214,0.9951198475448928,39,0.9950757710835165,0.9954474503402816,0.002296202968773594,0.9980862709074904,39,0.004924228916483377,0.0045525496597183,0.002296202968773577,0.0103136312298708,39,0.013859522282636929,0.0128069029317401,0.005776782199714708,0.0273490930677256,39,7.003266148915523,5.367932308219339,2.574020588239987,15.0,39,25.417484597637223,25.08331986059196,1.673784905010825,28.468602481492574,39,0.3627707530756879,0.3376790459036336,0.1641739887497404,0.7489327063627715,39,0.39490715940368276,0.3811077127918552,0.20143617021428356,0.9239680341325838,39,73.82483748988341,74.08704887599322,1.8877452438621471,76.69041444706012,0,,,,,0,
swinunetr_seed20260520,v1_comparison,4,left_kidney,39,39,39,39,0,0.0,39,0.940825532073971,0.9546140156261222,0.05674405063550635,0.981878994753843,39,0.8928420515475193,0.9131689441942134,0.0879022815428458,0.9644030421673192,39,0.9449306827933469,0.9595566068364176,0.06550801609946923,0.9891218012915702,39,0.940817148497647,0.9609132532341824,0.06493595683498186,0.990317624781164,39,0.9998561858636007,0.9999124277772654,0.0002576853354484979,0.9999797114060222,39,0.00014381413639907333,8.757222273461289e-05,0.0002576853354484839,0.0016627028230431,39,0.06050074307590142,0.0392109838719347,0.09861377245044092,0.6364117854760877,39,13.23888494124441,3.4959347501208904,32.47969441445907,142.18701945669167,39,0.2164589667503295,0.2196580714782023,0.055182019910094374,0.3575815236541927,39,0.014345666775810622,0.0087437800984969,0.025701122183640707,0.165837013034279,39,0.014935943715657521,0.0081190077586974,0.01921484132750298,0.1072065758225436,39,99.75425942275821,99.75907671176914,0.07007029254123702,99.87396009088825,0,,,,,0,
swinunetr_seed20260520,v1_comparison,5,right_kidney,39,39,39,39,0,0.0,39,0.9430832945994172,0.9594225243534936,0.0647451515967496,0.9809487786912986,39,0.8979523604958336,0.922009698275862,0.09523538303024644,0.962609884743114,39,0.9512371391478575,0.9687910471286711,0.055564049303649596,0.9896918402777778,39,0.9425499019515821,0.9716042684029662,0.08922280962219874,0.9911313676451232,39,0.999871020388498,0.9999299082187996,0.00020885334052338504,0.9999839063696302,39,0.00012897961150196044,7.009178120055901e-05,0.00020885334052338588,0.0011632119713586,39,0.05300183205533035,0.0296994444708228,0.07479796372503525,0.3861296039082331,39,18.331049882216227,2.7621351896604573,39.56461185022031,143.87262891362863,39,0.21657652662430465,0.2158243077131109,0.052730358717646246,0.3399839251495901,39,0.012865258700460536,0.0069871972534144,0.020826050619858875,0.1159718330281796,39,0.015080089554516696,0.0060992380555629,0.02873339051699778,0.1791988461591937,39,99.75547812512073,99.76648073807245,0.06572438048809462,99.8713259678085,0,,,,,0,
swinunetr_seed20260520,v1_comparison,6,testis,39,20,20,21,0,0.0,20,0.933720344725922,0.9363245999789842,0.013282167008222925,0.9518210999031694,20,0.8759549659494527,0.8802732791068222,0.023191703173763747,0.9080712269777996,20,0.9382339903520013,0.9467615235846332,0.023981932730671892,0.9679577464788732,20,0.929864884439327,0.9287346688986193,0.01952179002775474,0.969443136250783,20,0.9993678297839794,0.9994130920511539,0.0002014540165105915,0.9996287487133692,20,0.0006321702160203601,0.00058690794884595,0.00020145401651055318,0.0010015491807398,20,0.06198916083914913,0.05202021548497905,0.026503240520077697,0.1207480549340011,20,7.627851612804787,6.6934541089362725,3.5972665028509447,17.959385635599652,39,0.5053941073772606,0.7163427240024733,0.5176994727736262,1.314865300820942,39,0.032079696255096435,0.0368294599211254,0.03468222743817087,0.0992358366448309,39,0.03875022889988091,0.0280408057290349,0.042953159303530976,0.1149644442692834,39,99.42377596746778,99.17050267292194,0.5884301549356289,100.0,19,1.0964159636826687e-08,0.0,4.779166385777514e-08,2.0831903309970707e-07,19,0.05263157894736842
swinunetr_seed20260520,v1_comparison,7,thoracic_cavity,39,39,39,39,0,0.0,39,0.98410492584055,0.9811374969320746,0.006816900306400584,0.9919802625981908,39,0.9687934725003853,0.9629734080680604,0.01318739864043658,0.9840881341818162,39,0.9848196462376757,0.987745090653786,0.006816586377567292,0.9939245832834978,39,0.9834358114765382,0.9872080041345558,0.00951524389703734,0.9939857473559984,39,0.9992338353993124,0.9993481008123324,0.00039335283321444625,0.9997406918287646,39,0.0007661646006875461,0.0006518991876675,0.0003933528332144576,0.0016205889639851,39,0.015182098847215358,0.0120920386398166,0.006909461633243415,0.0308115583116667,39,2.9535783410653167,3.0881569522893333,1.585650550469969,6.98869500766461,39,4.602233275092129,4.59656040089165,0.565340162104258,5.85616623770723,39,0.07288833206267527,0.0623212239961604,0.03720982475052432,0.1539610403797086,39,0.0802695054787612,0.0583759674668765,0.05211521378474889,0.2250205568812499,39,95.24460888736644,95.23086203482772,0.6206983633236719,96.36165142601938,0,,,,,0,
swinunetr_seed20260520,v1_comparison,8,abdominal_and_pelvic_cavity,39,39,39,39,0,0.0,39,0.9858440959715242,0.9845234614178664,0.006373676676538868,0.9936481869459584,39,0.972159186528263,0.9695186683411856,0.0123800663502957,0.9873765556505228,39,0.986253173057384,0.985760507839075,0.006114279009948108,0.9940763874667212,39,0.9854504567949184,0.9875553804389474,0.007669700264953493,0.9946923143876752,39,0.997629422301608,0.9977140923436632,0.0010814739186189779,0.9990603908448789,39,0.0023705776983920434,0.0022859076563367,0.001081473918618981,0.0045514984722571,39,0.013740174329011583,0.0141411011002188,0.006136713451316338,0.0274184451495373,39,3.660388588619957,4.026470337517247,1.4035656370383636,6.550980402831415,39,14.482542976069276,14.319047846094568,1.427609841037681,17.775892859133222,39,0.20189519935441813,0.2017215430485774,0.09160436319483278,0.3903510518695747,39,0.21355752219213797,0.2069542748962451,0.11171368389127419,0.4593047476059608,39,85.10200430238419,85.44465979131685,1.459952406597829,88.04398798479896,0,,,,,0,
swinunetr_seed20260520,v1_comparison,9,head,39,19,19,38,0,0.0,19,0.9528702221120094,0.9692949822370684,0.05269322897879358,0.9790752186952704,19,0.913936038926982,0.9404193882172523,0.08304614533620075,0.9590081822130168,19,0.9586302925538802,0.977421136278366,0.06950336891794137,0.9955630372394866,19,0.9494115608642059,0.9650209467496048,0.050720071759734024,0.9955280805385364,19,0.9966682038875986,0.9982282066658597,0.005374981062234912,0.9996288928350148,19,0.003331796112401427,0.0017717933341403,0.005374981062234914,0.0239623619301777,19,0.045088921191144916,0.0206712743740424,0.08253661081742918,0.3681822498443616,19,13.426245853550755,10.308252754837865,8.16516163081226,36.85844836352912,39,3.5926975168315343,0.0,3.765986871456529,8.194801864411366,39,0.186908457444375,0.0756370036375558,0.37532195369642185,2.249811947463445,39,0.19423504586601298,0.0,0.335898461494541,1.3452377086695777,39,96.02615897985807,99.53806494003209,4.074363602218916,100.0,20,0.0006999889125932156,0.0003487263021594,0.0010462096939213095,0.0046193505996791,20,0.95
