method,cohort,class_id,class_name,n_cases,n_evaluable,n_gt_present,n_pred_present,missed_count,missed_rate,Dice_n_valid,Dice_mean,Dice_median,Dice_std,Dice_max,IoU_n_valid,IoU_mean,IoU_median,IoU_std,IoU_max,Precision_n_valid,Precision_mean,Precision_median,Precision_std,Precision_max,Recall_n_valid,Recall_mean,Recall_median,Recall_std,Recall_max,Specificity_n_valid,Specificity_mean,Specificity_median,Specificity_std,Specificity_max,FPR_n_valid,FPR_mean,FPR_median,FPR_std,FPR_max,FP_GT_ratio_n_valid,FP_GT_ratio_mean,FP_GT_ratio_median,FP_GT_ratio_std,FP_GT_ratio_max,HD95_n_valid,HD95_mean,HD95_median,HD95_std,HD95_max,TP_percent_n_valid,TP_percent_mean,TP_percent_median,TP_percent_std,TP_percent_max,FP_percent_n_valid,FP_percent_mean,FP_percent_median,FP_percent_std,FP_percent_max,FN_percent_n_valid,FN_percent_mean,FN_percent_median,FN_percent_std,FN_percent_max,TN_percent_n_valid,TN_percent_mean,TN_percent_median,TN_percent_std,TN_percent_max,absent_FP_rate_n_valid,absent_FP_rate_mean,absent_FP_rate_median,absent_FP_rate_std,absent_FP_rate_max,absent_FP_incidence_n_valid,absent_FP_incidence_rate
mednext_s_seed20260521,v1_comparison,1,front,39,39,39,39,0,0.0,39,0.9667510679390546,0.9669845760845406,0.013280203304343248,0.9834678451555472,39,0.935946123009216,0.9360795141076976,0.024293983934543573,0.967473424690668,39,0.964072578496563,0.964758868406451,0.02192630017310585,0.9965882452719472,39,0.9699943297743402,0.9726189541530672,0.02011669889034325,0.9975966459643882,39,0.9879258373179898,0.988513615918699,0.007292006789329194,0.9988100686011008,39,0.012074162682010026,0.011486384081301,0.00729200678932918,0.0327028282561344,39,0.03676451790362977,0.035386146338681,0.023455373432964548,0.1051245268301022,39,19.127756832435164,19.572053716867764,5.861026265135325,35.35590465551363,39,24.504945582042083,24.532790074454727,1.2170540105220533,26.788702531998705,39,0.9080886170171292,0.8928728272573556,0.5555288464815504,2.494330203377411,39,0.7723730185695702,0.6754855207821384,0.5308929063890943,2.5275194980926523,39,73.81459278237121,73.88263289961576,1.1830639569522743,76.84027808756255,0,,,,,0,
mednext_s_seed20260521,v1_comparison,2,middle,39,39,39,39,0,0.0,39,0.9544575091931028,0.9555851830958428,0.007891624637791235,0.966321470031826,39,0.9129882839956384,0.9149479379547464,0.014375934527934819,0.9348375167099368,39,0.9589286375401017,0.9654129506100004,0.017377899619568805,0.9820163727182678,39,0.9504179821432072,0.952911723935976,0.01412381654979314,0.977473340364198,39,0.9868253777721971,0.98873347588542,0.005554154287880261,0.994328279829752,39,0.013174622227802931,0.01126652411458,0.005554154287880271,0.0299735357840845,39,0.04117520336756883,0.0340786872269087,0.01893375956104757,0.1019146670962517,39,15.488822043254496,15.0,3.968787771680931,25.396876336778742,39,23.265819861695604,23.165601128982377,1.0901249067327423,25.15657942331509,39,0.9972817571869979,0.8493451048125721,0.42863819930795233,2.2817782795798736,39,1.2203497229841902,1.1604378750289068,0.37755633293228996,2.3849088025206933,39,74.51654865813319,74.53999939172826,1.1289113655187053,76.52051458405545,0,,,,,0,
mednext_s_seed20260521,v1_comparison,3,end,39,39,39,39,0,0.0,39,0.976175321463322,0.9775645944936912,0.005459869720903152,0.9839170760368584,39,0.9535132910093637,0.9561137938191826,0.010360977616363051,0.9683432846200946,39,0.9727403605363251,0.9738871919135226,0.008162010775381378,0.98519718532594,39,0.9796989157737525,0.9803902159157024,0.007493843637277752,0.9880853725787898,39,0.9902955635106099,0.990946914716166,0.003537907890311156,0.9952576290107776,39,0.00970443648939001,0.009053085283834,0.003537907890311181,0.0194781959310829,39,0.027526498093429767,0.0264866238295907,0.00851032870621742,0.0530005839298384,39,9.37475587726064,9.814316478188392,2.5420145976459634,18.552878201259805,39,25.232831137715273,24.875129530358887,1.659962724769227,28.47539037207552,39,0.7163745523391126,0.661631209462638,0.2500255116557416,1.4243558738546258,39,0.5286568284178345,0.4759305484574287,0.21696307770987225,1.284681066578447,39,73.52213748152778,73.90250815281566,1.9381447944298469,76.46102876362907,0,,,,,0,
mednext_s_seed20260521,v1_comparison,4,left_kidney,39,39,39,39,0,0.0,39,0.8075861701057574,0.8537073257467994,0.1118926371291564,0.9192054996068084,39,0.6900627904440025,0.744755109163532,0.14047609308622558,0.8504905412383232,39,0.8042499339887923,0.8268863780934783,0.11047422137524941,0.9437346437346438,39,0.8319681647905502,0.8930338321605261,0.15004066497240093,0.9753117296080605,39,0.9995122447204984,0.9995972983562644,0.00039955713579932083,0.999891484320032,39,0.0004877552795015461,0.0004027016437356,0.00039955713579930446,0.0021468624854947,39,0.22162203295854382,0.1723923277438431,0.1767124241161347,0.8239632782769037,39,77.25375909189218,98.62184035773711,55.532004451956716,157.82362060387078,39,0.19000353569893713,0.1803911264201886,0.054079006080649736,0.2889541764630126,39,0.04866082769350517,0.0402058703925516,0.03985523977892294,0.2141283303852709,39,0.04091969942965403,0.028090583412205,0.03830856947765765,0.1763215831690233,39,99.7204159371779,99.744894905633,0.0756884026725145,99.8298108839546,0,,,,,0,
mednext_s_seed20260521,v1_comparison,5,right_kidney,39,39,39,39,0,0.0,39,0.8263243379495641,0.8730356697430781,0.12161106246486193,0.9396991101907276,39,0.7190348960882831,0.7746790615316512,0.14975173918123927,0.8862570230981897,39,0.8487444012876765,0.8860591750192752,0.12172481186957838,0.978010861463103,39,0.8263807701462864,0.8505310382713789,0.15240171210036071,0.9723441383321876,39,0.9996326981549482,0.999739344562474,0.00037873738580776174,0.9999539860323654,39,0.00036730184505172575,0.0002606554375259,0.0003787373858077298,0.0015990130631724,39,0.1644795157381028,0.1209803269461997,0.160323110376061,0.6137734108967083,39,64.4521194179861,20.53535775047323,65.26084002996713,220.49518018103208,39,0.18931267842869393,0.2008610353885275,0.05237856070970242,0.3019959676372662,39,0.03664400375910045,0.0259840539147229,0.03777868252762285,0.1594222246606364,39,0.04187451378402778,0.0326192247225764,0.04150712076686746,0.2189610524404379,39,99.73216880402819,99.7355329385663,0.07051355245866081,99.83472214674592,0,,,,,0,
mednext_s_seed20260521,v1_comparison,6,testis,39,20,20,25,0,0.0,20,0.8983376879755761,0.9008331946986817,0.021121640199980415,0.9436554623878592,20,0.8160749227559994,0.819562025589006,0.03495914326476781,0.8933216661686779,20,0.9093280589174959,0.9141012364130294,0.029070710339545804,0.9682170414553144,20,0.8889979018415852,0.8860971027598247,0.036978793974057234,0.952986109391636,20,0.9990894116517671,0.9991824477750699,0.00024891292013609135,0.9995663484601583,20,0.0009105883482327748,0.0008175522249299499,0.0002489129201360944,0.0013997766155656,20,0.08988880629029702,0.07837361884700855,0.033399455483952435,0.1514446268295025,20,15.134133887491558,10.02378528393696,14.095168428078859,60.37683420771645,39,0.48212918607190686,0.6918736241417738,0.4948937434842871,1.302355563066525,39,0.04658498018180552,0.042751481433509,0.048511071879766644,0.1386957208840112,39,0.06076421764156626,0.0417637511205965,0.0681859122769458,0.1877766722841966,39,99.41052161610472,99.1281120698328,0.5996109531953074,100.0,19,7.671243242374725e-06,0.0,2.0084836802778e-05,6.598100679430528e-05,19,0.2631578947368421
mednext_s_seed20260521,v1_comparison,7,thoracic_cavity,39,39,39,39,0,0.0,39,0.9767169890487373,0.9774420169524164,0.005394222886924212,0.984540441500326,39,0.9545462575444259,0.9558793077330384,0.010270467248319391,0.9695516017939398,39,0.9791388599234941,0.9804192204170314,0.0046546558492248724,0.9867656799080896,39,0.9743771919216696,0.9773674029383403,0.010268217932357064,0.9856579495030018,39,0.9989841898206985,0.9990340085034132,0.000260046405172307,0.9993389024716604,39,0.0010158101793015257,0.0009659914965869,0.00026004640517229675,0.001682111842374,39,0.020788335602234104,0.0195219081346868,0.00478940535886865,0.0320494969897829,39,4.329878983459185,4.552637950642405,1.0249110803712107,7.256473397209015,39,4.550832533447065,4.549909253856289,0.5585536239712686,5.80183083122983,39,0.09677593534275399,0.0924632797260956,0.02453060151263511,0.1598229088238811,39,0.12228564561193768,0.0964590134393669,0.057997225924492,0.2815828235944439,39,95.23010588559825,95.23698295264144,0.6033922419716364,96.32419714115358,0,,,,,0,
mednext_s_seed20260521,v1_comparison,8,abdominal_and_pelvic_cavity,39,39,39,39,0,0.0,39,0.9731056023077417,0.9757384171340264,0.0075730705279344135,0.984570568478796,39,0.9477227386356251,0.9526261976982724,0.014307340814406004,0.96961003681351,39,0.9741272042465624,0.9741530444709492,0.009208135277757773,0.9878177893599536,39,0.9721363059565474,0.97349333972318,0.008925553033660778,0.9866881364783706,39,0.9955878785948491,0.9954998288238884,0.0015498620096325568,0.9981333759007154,39,0.004412121405150849,0.0045001711761114,0.0015498620096325332,0.0078655536646295,39,0.025874067060184195,0.0259277199943092,0.009378090378924299,0.0475485287553233,39,6.822813625192104,6.253051013118016,2.1997780013422434,15.600991018478936,39,14.257118120591807,14.05646220123032,1.3873117375655133,17.513844758982856,39,0.3764100458150838,0.389202967816287,0.1322765043439379,0.6749105791644637,39,0.41021080985271613,0.3565800520539489,0.13859143070435315,0.7927019146289873,39,84.9562610237404,85.22836159511343,1.4421970543287732,87.879458668798,0,,,,,0,
mednext_s_seed20260521,v1_comparison,9,head,39,19,19,38,0,0.0,19,0.938442059797129,0.956335950309384,0.050042446211252145,0.9674726045155442,19,0.887503678349821,0.9163254694773482,0.07804495809482835,0.936994610260788,19,0.9485328805476363,0.9658009098440477,0.06854636536438942,0.9879010454217736,19,0.9312905108649501,0.9453692131783976,0.0506127295490042,0.9830122043080712,19,0.9958395359378108,0.9974321516871456,0.005353206659966883,0.998939865872868,19,0.004160464062188989,0.0025678483128542,0.005353206659966876,0.0244981457957167,19,0.0551800292377898,0.0343176851241041,0.08305989979467196,0.3769177807557164,19,17.48638274805826,15.0,7.091284260760468,34.49587261588699,39,3.5165247189682085,0.0,3.6830294687556377,7.893196547997879,39,0.32712726054318847,0.2305090381088792,0.40444534079168143,2.300304032597575,39,0.264499756928223,0.0,0.3945967737729901,1.6126526064041038,39,95.89184826356038,98.9152418733443,4.009124389105271,100.0,20,0.002707351084201908,0.0018802463479357001,0.0028380643470903425,0.010847581266557,20,0.95
